year,group_code,group_name,birth_share,population_share,birth_population_gap
2008,DANSK,Danish origin,0.8598204126818167,0.9053953009401571,-0.04557488825834033
2008,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.13957993788246872,0.09460469905984295,0.044975238822625774
2009,DANSK,Danish origin,0.8492151930975198,0.9021758757429466,-0.05296068264542675
2009,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.15078480690248017,0.09782412425705342,0.05296068264542675
2010,DANSK,Danish origin,0.8426140574979104,0.899273243705275,-0.05665918620736454
2010,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.15738594250208954,0.10072675629472505,0.05665918620736449
2011,DANSK,Danish origin,0.8357401945828672,0.8963916716434818,-0.06065147706061458
2011,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.16425980541713278,0.10360832835651823,0.06065147706061455
2012,DANSK,Danish origin,0.8255059051039436,0.893357727649779,-0.06785182254583544
2012,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.17449409489605636,0.10664227235022095,0.06785182254583541
2013,DANSK,Danish origin,0.8137382993574714,0.889457119328333,-0.0757188199708616
2013,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.1862617006425286,0.11054288067166698,0.0757188199708616
2014,DANSK,Danish origin,0.8021100756110427,0.8845346770985281,-0.08242460148748532
2014,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.19788992438895728,0.11546532290147196,0.08242460148748532
2015,DANSK,Danish origin,0.7946568164247058,0.8779118896971866,-0.08325507327248083
2015,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.2053431835752942,0.12208811030281336,0.08325507327248086
2016,DANSK,Danish origin,0.7841237381114682,0.8715518822819703,-0.08742814417050215
2016,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.21587626188853182,0.12844811771802964,0.08742814417050218
2017,DANSK,Danish origin,0.7780673322800788,0.8670475567484689,-0.08898022446839005
2017,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.22193266771992118,0.13295244325153108,0.0889802244683901
2018,DANSK,Danish origin,0.7781410631791268,0.8633422407623818,-0.08520117758325496
2018,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.22185893682087318,0.13665775923761825,0.08520117758325493
2019,DANSK,Danish origin,0.780862229633626,0.8607551862620149,-0.07989295662838891
2019,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.21913777036637402,0.13924481373798514,0.07989295662838888
2020,DANSK,Danish origin,0.7843510510855474,0.8604662875930689,-0.0761152365075215
2020,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.21564894891445263,0.1395337124069312,0.07611523650752144
2021,DANSK,Danish origin,0.7876734989680652,0.8568651732654874,-0.06919167429742223
2021,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.21232650103193484,0.1431348267345126,0.06919167429742223
2022,DANSK,Danish origin,0.7859318843060071,0.8475107129049431,-0.06157882859893593
2022,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.2140681156939928,0.1524892870950569,0.0615788285989359
2023,DANSK,Danish origin,0.7807339609180601,0.8424870088987869,-0.06175304798072678
2023,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.21926603908193984,0.15751299110121314,0.0617530479807267
2024,DANSK,Danish origin,0.7724732388444087,0.8375828987885613,-0.06510965994415263
2024,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.22752676115559137,0.16241710121143876,0.0651096599441526
2025,DANSK,Danish origin,0.7746748986423969,0.8332994455358309,-0.05862454689343399
2025,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.22532510135760309,0.16670055446416912,0.058624546893433965
