group_code,group_name,first_income,latest_income,first_real_income,latest_real_income,nominal_growth_pct,real_growth_pct
DANSK,Danish origin,278181,427473,373962.576848339,435567.94389114884,53.66721666828431,16.473671660411625
IND_ANDRE,Non-western immigrant origin,203562,334282,273651.22013509757,340612.2104081919,64.21630756231515,24.469465270440473
IND_VEST,Western immigrant origin,268606,429375,361090.7715369667,437505.96156543697,59.85309337840554,21.16232151356636
