year,group_code,group_name,income_dkk_per_person,total_income_thousand_dkk,income_gap_vs_danes,income_ratio_vs_danes,yoy_change_dkk,yoy_change_pct,rolling_3y_mean,base_year_index,real_income_dkk_per_person,group_encoded
2023,IND_VEST,Western immigrant origin,418521,100335782,-11177,1.0274387250088377,46833.0,12.600083941370176,382466.0,155.8122305533011,432298.12214717385,2
2020,IND_VEST,Western immigrant origin,337682,73305274,29080,0.9207115240946445,23374.0,7.436654491772399,317009.6666666667,125.71647692158776,395250.08830164355,2
2021,IND_ANDRE,Non-western immigrant origin,288175,92421858,96529,0.7490824114124106,18480.0,6.8521848755075165,270616.0,141.56620587339484,331166.4610030058,1
2023,IND_ANDRE,Non-western immigrant origin,319747,111789153,87597,0.784955713107349,19803.0,6.602232416717779,302622.0,157.07597685226122,330272.621116246,1
2023,DANSK,Danish origin,407344,1710288793,0,1.0,24689.0,6.45202597640171,391567.6666666667,146.43128035343895,420753.1910415926,0
2020,IND_ANDRE,Non-western immigrant origin,269695,84895110,97067,0.7353406296181175,15717.0,6.188331272787417,254846.0,132.48789066721687,315672.6522719948,1
2021,IND_VEST,Western immigrant origin,357189,80632533,27515,0.9284774787888871,19507.0,5.776736693101792,336393.0,132.97878677319198,410476.3322259136,2
2019,IND_ANDRE,Non-western immigrant origin,253978,78289899,96470,0.7247237821303018,13113.0,5.444128453698127,241667.0,124.76690148455998,298526.8919093851,1
2019,IND_VEST,Western immigrant origin,314308,66246130,36140,0.8968748573254806,15269.0,5.106022960215895,301809.6666666667,117.01451196175812,369439.047249191,2
2024,DANSK,Danish origin,427473,1798944709,0,1.0,20129.0,4.941523626222555,405824.0,153.6672166682843,435567.94389114884,0
2021,DANSK,Danish origin,384704,1603382398,0,1.0,17942.0,4.892000807062891,367304.6666666667,138.29269432491796,442096.1645309286,0
2020,DANSK,Danish origin,366762,1528207343,0,1.0,16314.0,4.655184221339548,351804.0,131.84293679295135,429287.65194972605,0
2018,IND_ANDRE,Non-western immigrant origin,240865,72948440,97337,0.7121927132305546,10707.0,4.652021654689387,232304.0,118.32512944459181,285260.187494905,1
2015,IND_VEST,Western immigrant origin,286186,50403304,31947,0.8995797355194212,12672.0,4.633035237684369,275967.0,106.54490219875952,346475.85066666664,2
2024,IND_ANDRE,Non-western immigrant origin,334282,123493033,93191,0.7819955880254426,14535.0,4.545781508505153,317991.0,164.21630756231517,340612.2104081919,1
2010,DANSK,Danish origin,286902,1169515423,0,1.0,11819.0,4.296521413537002,280055.3333333333,103.13500922061536,372119.65503080084,0
2022,IND_ANDRE,Non-western immigrant origin,299944,99130378,82711,0.7838496818282787,11769.0,4.0839767502385715,285938.0,147.34773680745917,320057.76217407273,1
2022,IND_VEST,Western immigrant origin,371688,88998581,10967,0.971339718545426,14499.0,4.05919555193468,355519.6666666667,138.37665577090607,396612.7994124128,2
2019,DANSK,Danish origin,350448,1458949004,0,1.0,12246.0,3.6209129455177624,340253.0,125.9784097404208,411918.16699029127,0
2015,DANSK,Danish origin,318133,1314994558,0,1.0,10085.0,3.273840440450848,309696.0,114.36187230616038,385153.01866666664,0
2012,IND_ANDRE,Non-western immigrant origin,210704,50061491,86467,0.7090328464082969,6244.0,3.053898072972716,205782.0,103.50851337675991,259724.05498048535,1
2024,IND_VEST,Western immigrant origin,429375,106950782,-1902,1.0044494038219958,10854.0,2.5934182514139037,406528.0,159.85309337840553,437505.96156543697,2
2015,IND_ANDRE,Non-western immigrant origin,224552,59223448,93581,0.7058431536495743,5642.0,2.5773148782604727,219170.66666666666,110.31135477151923,271857.6213333333,1
2017,IND_VEST,Western immigrant origin,292082,57542259,40027,0.8794763165105433,7329.0,2.573809582339792,287673.6666666667,108.73993879511255,348731.69756738987,2
2017,DANSK,Danish origin,332109,1377866526,0,1.0,8219.0,2.537589922504546,324710.6666666667,119.38593937040991,396521.9881656805,0
2013,IND_VEST,Western immigrant origin,268201,42372784,34706,0.8854235788542358,6549.0,2.5029428401082354,262978.3333333333,99.8492215363767,328009.439178382,2
2018,IND_VEST,Western immigrant origin,299039,61474710,39163,0.8842023406130064,6957.0,2.381865366575142,291958.0,111.32997773690833,354156.565745496,2
2014,IND_ANDRE,Non-western immigrant origin,218910,54963301,89138,0.7106360047784761,4860.0,2.2704975473020417,214554.66666666666,107.53971762902704,266225.0527373179,1
2012,DANSK,Danish origin,297171,1218893073,0,1.0,6441.0,2.2154576411103077,291601.0,106.82649066614903,366307.5078907178,0
2014,IND_VEST,Western immigrant origin,273514,45158216,34534,0.8878940944268425,5313.0,1.9809769538517763,267789.0,101.82721160361272,332631.1227189017,2
2013,DANSK,Danish origin,302907,1245778850,0,1.0,5736.0,1.9302018030023183,296936.0,108.88845751507112,370454.8275107332,0
2017,IND_ANDRE,Non-western immigrant origin,230158,67781050,101951,0.693019460478337,4269.0,1.88986626174803,226866.33333333334,113.06530688438903,274797.4543063774,1
2018,DANSK,Danish origin,338202,1405137615,0,1.0,6093.0,1.8346386276794746,331400.3333333333,121.57623993011744,400537.9192956713,0
2016,DANSK,Danish origin,323890,1338489674,0,1.0,5757.0,1.8096205046317149,316690.3333333333,116.43138819689338,391144.9642560266,0
2014,DANSK,Danish origin,308048,1270433263,0,1.0,5141.0,1.6972205990617661,302708.6666666667,110.73653484601753,374629.2770801942,0
2013,IND_ANDRE,Non-western immigrant origin,214050,51930870,88857,0.7066525369172716,3346.0,1.5880097197964904,209738.0,105.1522386299997,261782.8436737099,1
2011,DANSK,Danish origin,290730,1188795160,0,1.0,3828.0,1.3342535081665607,284238.3333333333,104.51109169928931,366961.37619461335,0
2009,IND_ANDRE,Non-western immigrant origin,206107,44016870,68976,0.7492538615617832,2545.0,1.2502333441408497,204834.5,101.25023334414085,273504.0643039825,1
2011,IND_ANDRE,Non-western immigrant origin,204460,47396171,86270,0.7032641970212913,2278.0,1.1267076198672399,204249.66666666666,100.44114323891493,258070.79756733272,1
2012,IND_VEST,Western immigrant origin,261652,38455770,35519,0.8804762241268496,2570.0,0.9919639341984476,259306.33333333334,97.41107793571253,322525.0514169354,2
2011,IND_VEST,Western immigrant origin,259082,36153604,31648,0.8911429849000791,1897.0,0.7376013375585577,261653.0,96.45428620358443,327015.05612510856,2
2016,IND_ANDRE,Non-western immigrant origin,225889,63326397,98001,0.6974250517150885,1337.0,0.5954077451993278,223117.0,110.96815712166317,272794.2969243558,1
2009,IND_VEST,Western immigrant origin,268692,31904739,6391,0.9767670121381546,86.0,0.03201715523852844,268649.0,100.03201715523853,356554.3821702594,2
2016,IND_VEST,Western immigrant origin,284753,53229139,39137,0.8791657661551762,-1433.0,-0.5007233058220928,281484.3333333333,106.01140704228497,343881.2621778886,2
2022,DANSK,Danish origin,382655,1602571999,0,1.0,-2049.0,-0.5326172849775435,378040.3333333333,137.55612353108228,408315.2287917738,0
2009,DANSK,Danish origin,275083,1116504097,0,1.0,-3098.0,-1.113663406199561,276632.0,98.88633659380044,365035.2415052978,0
2010,IND_ANDRE,Non-western immigrant origin,202182,45771191,84720,0.7047075307944873,-3925.0,-1.9043506528162557,203950.33333333334,99.32207386447372,262235.52325685206,1
2010,IND_VEST,Western immigrant origin,257185,34322945,29717,0.8964210775804978,-11507.0,-4.2825986631533475,264827.6666666667,95.74804732582295,333575.9021515936,2
