group_code,group_name,first_real_income,latest_real_income,real_growth_pct
DANSK,Danish origin,373962.576848339,435567.94389114884,16.473671660411625
IND_ANDRE,Non-western immigrant origin,273651.22013509757,340612.2104081919,24.469465270440473
IND_VEST,Western immigrant origin,361090.7715369667,437505.96156543697,21.16232151356636
