year,group_code,group_name,population_share,population,births,total_births,birth_share,birth_population_ratio,immigration_count,emigration_count,net_migration,net_migration_rate
2019,IND_VEST,Western immigrant origin,0.05067882884884898,295329,,,,,,,,
2020,DANSK,Danish origin,0.8604662875930689,5022725,47796.0,60937.0,0.7843510510855474,0.9115418725811628,21696.0,15871.0,5825.0,0.0011597290315515979
2020,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.1395337124069312,814488,13141.0,60937.0,0.21564894891445263,1.545497107434092,48644.0,43549.0,5095.0,0.006255463555018613
2020,IND_ANDRE,Non-western immigrant origin,0.08932207887565521,521392,,,,,,,,
2020,IND_VEST,Western immigrant origin,0.05021163353127597,293096,,,,,,,,
2021,DANSK,Danish origin,0.8568651732654874,5027581,49996.0,63473.0,0.7876734989680652,0.9192502199223072,18356.0,16267.0,2089.0,0.00041550797490880805
2021,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.1431348267345126,839831,13477.0,63473.0,0.21232650103193484,1.4834020893165252,57922.0,33536.0,24386.0,0.029036794307426138
2021,IND_ANDRE,Non-western immigrant origin,0.09060843179241547,531637,,,,,,,,
2021,IND_VEST,Western immigrant origin,0.05252639494209713,308194,,,,,,,,
2022,DANSK,Danish origin,0.8475107129049431,5024352,45922.0,58430.0,0.7859318843060071,0.927341533668799,18141.0,18859.0,-718.0,-0.0001429040003566629
2022,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.1524892870950569,904012,12508.0,58430.0,0.2140681156939928,1.403823965420926,103042.0,44068.0,58974.0,0.06523585970097742
2022,IND_ANDRE,Non-western immigrant origin,0.09693078900013562,574641,,,,,,,,
2022,IND_VEST,Western immigrant origin,0.0555584980949213,329371,,,,,,,,
2023,DANSK,Danish origin,0.8424870088987869,5020771,44868.0,57469.0,0.7807339609180601,0.9267014834312471,18783.0,17632.0,1151.0,0.0002292476593734309
2023,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.15751299110121314,938693,12601.0,57469.0,0.21926603908193984,1.392050506748653,79561.0,50540.0,29021.0,0.030916391194991334
2023,IND_ANDRE,Non-western immigrant origin,0.10004087615933245,596190,,,,,,,,
2023,IND_VEST,Western immigrant origin,0.05747211494188068,342503,,,,,,,,
2024,DANSK,Danish origin,0.8375828987885613,5017109,44092.0,57079.0,0.7724732388444087,0.9222648169651935,18508.0,16887.0,1621.0,0.00032309443546074044
2024,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.16241710121143876,972876,12987.0,57079.0,0.22752676115559137,1.4008793375729023,83216.0,52580.0,30636.0,0.031490138517138874
2024,IND_ANDRE,Non-western immigrant origin,0.10362930791980281,620738,,,,,,,,
2024,IND_VEST,Western immigrant origin,0.058787793291635956,352138,,,,,,,,
2025,DANSK,Danish origin,0.8332994455358309,5016351,46049.0,59443.0,0.7746748986423969,0.9296476828257854,17611.0,16328.0,1283.0,0.00025576360186916746
2025,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.16670055446416912,1003515,13394.0,59443.0,0.22532510135760309,1.3516757762556502,84420.0,54012.0,30408.0,0.03030149026173002
2025,IND_ANDRE,Non-western immigrant origin,0.10721717061476119,645433,,,,,,,,
2025,IND_VEST,Western immigrant origin,0.05948338384940794,358082,,,,,,,,
