year,cpi_index,cpi_deflator_to_latest
2001,78.02499999999999,1.5516394318060451
2002,79.91666666666667,1.5149113660062563
2003,81.575,1.484114822760241
2004,82.51666666666667,1.4671783478085234
2005,84.01666666666667,1.4409839317595714
2006,85.63333333333333,1.4137796808096537
2007,87.08333333333333,1.3902392344497607
2008,90.05833333333334,1.3443138706394002
2009,91.23333333333333,1.3270003653635367
2010,93.34166666666665,1.2970270511561468
2011,95.91666666666667,1.262206776715899
2012,98.21666666666665,1.2326489054810794
2013,98.99166666666667,1.2229985689031062
2014,99.55,1.2161392934873598
2015,100.0,1.2106666666666666
2016,100.25,1.2076475477971738
2017,101.39999999999999,1.1939513477975017
2018,102.22500000000001,1.1843156435966413
2019,103.0,1.1754045307443366
2020,103.43333333333334,1.1704801804705123
2021,105.35000000000001,1.1491852554975477
2022,113.45833333333333,1.0670583914799854
2023,117.20833333333333,1.0329185922502666
2024,118.81666666666666,1.0189367372703044
2025,121.06666666666666,1.0
